datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:38:51,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:38:52,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:38:53,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:38:54,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:38:55,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:38:56,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:38:57,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:38:58,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:38:59,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:00,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:01,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:02,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:03,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:04,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:05,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:06,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:07,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:08,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:09,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:10,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:11,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:12,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:13,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:14,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:15,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:16,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:17,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:18,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:19,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:20,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:21,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:22,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:23,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:24,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:25,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:26,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:27,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:28,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:29,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:30,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:31,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:32,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:33,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:34,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:35,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:36,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:37,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:38,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:39,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:40,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:41,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:42,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:43,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:44,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:45,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:46,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:47,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:48,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:49,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:50,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:51,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:52,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:53,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:54,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:55,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:56,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:57,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:58,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:39:59,79.43,79.43,79.43,79.43,0,0,79.43
2020-03-30 09:30:00,80.19,80.19,80.19,80.19,13,1,80.19
2020-03-30 09:30:01,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:02,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:03,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:04,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:05,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:06,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:07,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:08,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:09,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:10,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:11,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:12,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:13,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:14,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:15,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:16,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:17,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:18,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:19,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:20,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:21,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:22,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:23,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:24,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:25,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:26,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:27,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:28,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:29,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:30,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:31,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:32,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:33,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:34,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:35,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:36,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:37,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:38,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:39,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:40,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:41,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:42,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:43,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:44,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:45,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:46,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:47,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:48,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:49,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:50,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:51,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:52,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:53,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:54,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:55,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:56,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:57,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:58,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:30:59,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:00,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:01,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:02,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:03,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:04,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:05,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:06,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:07,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:08,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:09,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:10,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:11,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:12,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:13,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:14,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:15,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:16,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:17,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:18,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:19,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:20,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:21,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:22,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:23,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:24,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:25,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:26,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:27,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:28,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:29,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:30,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:31,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:32,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:33,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:34,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:35,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:36,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:37,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:38,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:39,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:40,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:41,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:42,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:43,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:44,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:45,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:46,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:47,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:48,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:49,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:50,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:51,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:52,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:53,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:54,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:55,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:56,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:57,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:58,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:31:59,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:00,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:01,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:02,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:03,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:04,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:05,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:06,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:07,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:08,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:09,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:10,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:11,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:12,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:13,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:14,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:15,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:16,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:17,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:18,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:19,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:20,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:21,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:22,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:23,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:24,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:25,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:26,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:27,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:28,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:29,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:30,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:31,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:32,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:33,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:34,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:35,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:36,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:37,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:38,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:39,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:40,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:41,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:42,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:43,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:44,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:45,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:46,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:47,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:48,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:49,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:50,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:51,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:52,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:53,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:54,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:55,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:56,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:57,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:58,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:32:59,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:00,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:01,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:02,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:03,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:04,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:05,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:06,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:07,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:08,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:09,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:10,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:11,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:12,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:13,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:14,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:15,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:16,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:17,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:18,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:19,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:20,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:21,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:22,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:23,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:24,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:25,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:26,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:27,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:28,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:29,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:30,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:31,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:32,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:33,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:34,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:35,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:36,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:37,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:38,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:39,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:40,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:41,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:42,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:43,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:44,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:45,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:46,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:47,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:48,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:49,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:50,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:51,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:52,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:53,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:54,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:55,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:56,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:57,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:58,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:33:59,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:00,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:01,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:02,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:03,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:04,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:05,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:06,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:07,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:08,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:09,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:10,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:11,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:12,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:13,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:14,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:15,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:16,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:17,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:18,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:19,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:20,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:21,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:22,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:23,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:24,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:25,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:26,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:27,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:28,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:29,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:30,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:31,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:32,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:33,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:34,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:35,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:36,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:37,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:38,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:39,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:40,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:41,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:42,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:43,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:44,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:45,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:46,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:47,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:48,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:49,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:50,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:51,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:52,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:53,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:54,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:55,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:56,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:57,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:58,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:34:59,80.19,80.19,80.19,80.19,0,0,80.19
2020-03-30 09:35:00,81.34,81.34,81.34,81.34,1,1,81.34
2020-03-30 09:35:01,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:02,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:03,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:04,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:05,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:06,81.34,81.34,81.34,81.34,0,0,81.34
2020-03-30 09:35:07,81.34,81.34,81.34,81.34,0,0,81.34
