datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:43,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:30:44,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:30:45,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:30:46,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:30:47,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:30:48,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:30:49,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:30:50,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:30:51,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:30:52,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:30:53,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:30:54,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:30:55,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:30:56,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:30:57,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:30:58,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:30:59,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:31:00,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:31:01,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:31:02,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:31:03,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:31:04,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:31:05,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:31:06,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:31:07,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:31:08,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:31:09,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:31:10,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:31:11,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:31:12,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:31:13,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:31:14,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:31:15,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:31:16,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:31:17,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:31:18,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:31:19,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:31:20,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:31:21,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:31:22,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:31:23,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:31:24,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:31:25,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:31:26,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:31:27,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:31:28,78.58,78.58,78.58,78.58,0,0,78.58
2020-03-30 09:31:29,78.58,78.58,78.58,78.58,1,1,78.58
2020-03-30 09:31:30,78.61,78.85,78.61,78.85,2,2,78.73
2020-03-30 09:31:31,78.85,78.85,78.85,78.85,0,0,78.85
2020-03-30 09:31:32,78.85,78.85,78.85,78.85,0,0,78.85
2020-03-30 09:31:33,78.85,78.85,78.85,78.85,0,0,78.85
2020-03-30 09:31:34,78.85,78.85,78.85,78.85,0,0,78.85
2020-03-30 09:31:35,78.85,78.85,78.85,78.85,0,0,78.85
2020-03-30 09:31:36,78.85,78.85,78.85,78.85,0,0,78.85
2020-03-30 09:31:37,78.85,78.85,78.85,78.85,0,0,78.85
2020-03-30 09:31:38,78.85,78.85,78.85,78.85,0,0,78.85
2020-03-30 09:31:39,78.85,78.85,78.85,78.85,0,0,78.85
2020-03-30 09:31:40,78.85,78.85,78.85,78.85,0,0,78.85
2020-03-30 09:31:41,78.85,78.85,78.85,78.85,0,0,78.85
2020-03-30 09:31:42,78.85,78.85,78.85,78.85,0,0,78.85
2020-03-30 09:31:43,78.85,78.85,78.85,78.85,0,0,78.85
2020-03-30 09:31:44,78.85,78.85,78.85,78.85,0,0,78.85
2020-03-30 09:31:45,78.85,78.85,78.85,78.85,0,0,78.85
2020-03-30 09:31:46,78.85,78.85,78.85,78.85,0,0,78.85
2020-03-30 09:31:47,78.85,78.85,78.85,78.85,0,0,78.85
2020-03-30 09:31:48,78.85,78.85,78.85,78.85,0,0,78.85
2020-03-30 09:31:49,78.85,78.85,78.85,78.85,0,0,78.85
2020-03-30 09:31:50,78.85,78.85,78.85,78.85,0,0,78.85
2020-03-30 09:31:51,78.85,78.85,78.85,78.85,0,0,78.85
2020-03-30 09:31:52,78.85,78.85,78.85,78.85,0,0,78.85
2020-03-30 09:31:53,78.85,78.85,78.85,78.85,0,0,78.85
2020-03-30 09:31:54,78.85,78.85,78.85,78.85,0,0,78.85
2020-03-30 09:31:55,78.31,78.31,78.31,78.31,1,1,78.31
2020-03-30 09:31:56,78.31,78.31,78.31,78.31,0,0,78.31
2020-03-30 09:31:57,78.31,78.31,78.31,78.31,0,0,78.31
2020-03-30 09:31:58,78.31,78.31,78.31,78.31,0,0,78.31
2020-03-30 09:31:59,78.31,78.31,78.31,78.31,0,0,78.31
2020-03-30 09:32:00,78.31,78.31,78.31,78.31,0,0,78.31
2020-03-30 09:32:01,78.31,78.31,78.31,78.31,0,0,78.31
2020-03-30 09:32:02,78.31,78.31,78.31,78.31,0,0,78.31
2020-03-30 09:32:03,78.31,78.31,78.31,78.31,0,0,78.31
2020-03-30 09:32:04,78.31,78.31,78.31,78.31,0,0,78.31
2020-03-30 09:32:05,78.31,78.31,78.31,78.31,0,0,78.31
2020-03-30 09:32:06,78.31,78.31,78.31,78.31,0,0,78.31
2020-03-30 09:32:07,78.31,78.31,78.31,78.31,0,0,78.31
2020-03-30 09:32:08,78.31,78.31,78.31,78.31,0,0,78.31
2020-03-30 09:32:09,78.31,78.31,78.31,78.31,0,0,78.31
2020-03-30 09:32:10,78.31,78.31,78.31,78.31,0,0,78.31
2020-03-30 09:32:11,78.31,78.31,78.31,78.31,0,0,78.31
2020-03-30 09:32:12,78.31,78.31,78.31,78.31,0,0,78.31
2020-03-30 09:32:13,78.31,78.31,78.31,78.31,0,0,78.31
2020-03-30 09:32:14,78.31,78.31,78.31,78.31,0,0,78.31
2020-03-30 09:32:15,78.31,78.31,78.31,78.31,0,0,78.31
2020-03-30 09:32:16,78.31,78.31,78.31,78.31,0,0,78.31
2020-03-30 09:32:17,78.31,78.31,78.31,78.31,0,0,78.31
2020-03-30 09:32:18,78.31,78.31,78.31,78.31,0,0,78.31
2020-03-30 09:32:19,78.31,78.31,78.31,78.31,0,0,78.31
2020-03-30 09:32:20,78.31,78.31,78.31,78.31,0,0,78.31
2020-03-30 09:32:21,78.31,78.31,78.31,78.31,0,0,78.31
2020-03-30 09:32:22,78.31,78.31,78.31,78.31,0,0,78.31
2020-03-30 09:32:23,78.31,78.31,78.31,78.31,0,0,78.31
2020-03-30 09:32:24,78.31,78.31,78.31,78.31,0,0,78.31
2020-03-30 09:32:25,78.31,78.31,78.31,78.31,0,0,78.31
2020-03-30 09:32:26,78.31,78.31,78.31,78.31,0,0,78.31
2020-03-30 09:32:27,78.81,78.81,78.81,78.81,2,1,78.81
2020-03-30 09:32:28,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:32:29,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:32:30,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:32:31,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:32:32,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:32:33,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:32:34,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:32:35,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:32:36,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:32:37,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:32:38,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:32:39,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:32:40,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:32:41,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:32:42,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:32:43,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:32:44,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:32:45,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:32:46,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:32:47,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:32:48,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:32:49,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:32:50,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:32:51,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:32:52,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:32:53,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:32:54,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:32:55,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:32:56,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:32:57,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:32:58,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:32:59,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:33:00,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:33:01,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:33:02,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:33:03,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:33:04,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:33:05,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:33:06,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:33:07,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:33:08,78.81,78.81,78.81,78.81,0,0,78.81
2020-03-30 09:33:09,79.06,79.06,78.92,78.92,2,2,78.987
2020-03-30 09:33:10,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:11,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:12,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:13,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:14,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:15,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:16,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:17,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:18,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:19,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:20,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:21,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:22,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:23,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:24,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:25,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:26,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:27,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:28,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:29,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:30,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:31,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:32,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:33,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:34,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:35,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:36,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:37,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:38,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:39,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:40,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:41,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:42,78.92,78.92,78.92,78.92,0,0,78.92
2020-03-30 09:33:43,79.32,79.32,79.32,79.32,1,1,79.32
2020-03-30 09:33:44,79.32,79.32,79.32,79.32,0,0,79.32
2020-03-30 09:33:45,79.32,79.32,79.32,79.32,0,0,79.32
2020-03-30 09:33:46,79.32,79.32,79.32,79.32,0,0,79.32
2020-03-30 09:33:47,79.32,79.32,79.32,79.32,0,0,79.32
